,2025-12-31,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-58412698.412698,0.0,162310539.928261,-15253402.33374,-25817213.589543
Tax Rate For Calcs,0.253968,0.25564,0.231508,0.254223,0.095021
Normalized EBITDA,7538200000.0,6481100000.0,6527700000.0,6161700000.0,6722600000.0
Total Unusual Items,-230000000.0,0.0,701100000.0,-60000000.0,-271700000.0
Total Unusual Items Excluding Goodwill,-230000000.0,0.0,701100000.0,-60000000.0,-271700000.0
Net Income From Continuing Operation Net Minority Interest,3846100000.0,3341500000.0,3448500000.0,2788800000.0,3644200000.0
Reconciled Depreciation,1592900000.0,1489300000.0,1530900000.0,1503200000.0,1493300000.0
Reconciled Cost Of Revenue,29252200000.0,28627000000.0,29404100000.0,26184400000.0,23768800000.0
EBITDA,7308200000.0,6481100000.0,7228800000.0,6101700000.0,6450900000.0
EBIT,5715300000.0,4991800000.0,5697900000.0,4598500000.0,4957600000.0
Net Interest Income,-316200000.0,-337600000.0,987300000.0,-579200000.0,-986900000.0
Interest Expense,316200000.0,337600000.0,400900000.0,579200000.0,986900000.0
Normalized Income,4017687301.587302,3341500000.0,2909710539.928261,2833546597.66626,3890082786.410457
Net Income From Continuing And Discontinued Operation,3846100000.0,3341500000.0,3448500000.0,2788800000.0,3644200000.0
Total Expenses,45506200000.0,43209000000.0,40293200000.0,40291500000.0,37374900000.0
Diluted Average Shares,991262887.0,991543027.0,,988936170.0,974385027.0
Basic Average Shares,991262887.0,988609467.0,,988936170.0,974385027.0
Diluted EPS,3.88,3.37,,2.82,3.74
Basic EPS,3.88,3.38,,2.82,3.74
Diluted NI Availto Com Stockholders,3846100000.0,3341500000.0,3448500000.0,2788800000.0,3644200000.0
Net Income Common Stockholders,3846100000.0,3341500000.0,3448500000.0,2788800000.0,3644200000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0
Net Income,3846100000.0,3341500000.0,3448500000.0,2788800000.0,3644200000.0
Minority Interests,900000.0,24000000.0,-38700000.0,-30400000.0,-27900000.0
Net Income Including Noncontrolling Interests,3845200000.0,3317500000.0,3487200000.0,2819200000.0,3672100000.0
Net Income Continuous Operations,3845200000.0,3317500000.0,3487200000.0,2819200000.0,3672100000.0
Tax Provision,1371200000.0,1189800000.0,1226300000.0,1021800000.0,377300000.0
Pretax Income,5399100000.0,4654200000.0,5297000000.0,4019300000.0,3970700000.0
Other Non Operating Income Expenses,330100000.0,411700000.0,-1136700000.0,516000000.0,459700000.0
Special Income Charges,-230000000.0,0.0,453200000.0,-60000000.0,-271700000.0
Other Special Charges,-120000000.0,,,,
Write Off,350000000.0,,,,
Restructuring And Mergern Acquisition,,,,60000000.0,
Net Non Operating Interest Income Expense,-316200000.0,-337600000.0,987300000.0,-579200000.0,-986900000.0
Interest Expense Non Operating,316200000.0,337600000.0,400900000.0,579200000.0,986900000.0
Operating Income,5613800000.0,4580100000.0,4690100000.0,4144100000.0,4769600000.0
Operating Expense,16254000000.0,14582000000.0,10889100000.0,14107100000.0,13606100000.0
Other Operating Expenses,10316200000.0,9236300000.0,-15512800000.0,8824400000.0,8477400000.0
Depreciation And Amortization In Income Statement,1592900000.0,1489300000.0,1530900000.0,1503200000.0,1493300000.0
Depreciation Income Statement,1592900000.0,1489300000.0,-1855500000.0,1503200000.0,1493300000.0
Gross Profit,21867800000.0,19162100000.0,15579200000.0,18251200000.0,18375700000.0
Cost Of Revenue,29252200000.0,28627000000.0,29404100000.0,26184400000.0,23768800000.0
Total Revenue,51120000000.0,47789100000.0,44983300000.0,44435600000.0,42144500000.0
Operating Revenue,51120000000.0,47789100000.0,44983300000.0,44435600000.0,42144500000.0
