,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-411602116.434939,-1034858141.798521,-456493493.485661,449430000.0,-378570000.0,
Tax Rate For Calcs,0.294254,0.246155,0.345514,0.3,0.3,
Normalized EBITDA,88047500000.0,93108400000.0,77959300000.0,65636600000.0,61715000000.0,
Total Unusual Items,-1398800000.0,-4204100000.0,-1321200000.0,1498100000.0,-1261900000.0,
Total Unusual Items Excluding Goodwill,-1398800000.0,-4204100000.0,-1321200000.0,1498100000.0,-1261900000.0,
Net Income From Continuing Operation Net Minority Interest,26887000000.0,31017500000.0,20776800000.0,13008100000.0,3266400000.0,
Reconciled Depreciation,30488100000.0,28930000000.0,27443000000.0,27250300000.0,25691900000.0,
Reconciled Cost Of Revenue,224417500000.0,244260800000.0,205786600000.0,528024000000.0,239304400000.0,
EBITDA,86648700000.0,88904300000.0,76638100000.0,67134700000.0,60453100000.0,
EBIT,56160600000.0,59974300000.0,49195100000.0,39884400000.0,34761200000.0,
Net Interest Income,-17472900000.0,-17749600000.0,-18524300000.0,-9942000000.0,-18040900000.0,
Interest Expense,17472900000.0,17749600000.0,18524300000.0,17887500000.0,18040900000.0,
Normalized Income,27874197883.56506,34186741858.20148,21641506506.51434,11959430000.0,4149730000.0,
Net Income From Continuing And Discontinued Operation,26887000000.0,31017500000.0,20776800000.0,13008100000.0,3266400000.0,
Total Expenses,514951600000.0,522125000000.0,480608300000.0,522872700000.0,498969800000.0,
Diluted Average Shares,12447685185.0,12456827309.0,12441197605.0,,12563076923.0,12439552239.0
Basic Average Shares,12447685185.0,12456827309.0,12441197605.0,,12563076923.0,12439552239.0
Diluted EPS,2.16,2.49,1.67,,0.26,0.67
Basic EPS,2.16,2.49,1.67,,0.26,0.67
Diluted NI Availto Com Stockholders,26887000000.0,31017500000.0,20776800000.0,13008100000.0,3266400000.0,
Net Income Common Stockholders,26887000000.0,31017500000.0,20776800000.0,13008100000.0,3266400000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,
Net Income,26887000000.0,31017500000.0,20776800000.0,13008100000.0,3266400000.0,
Minority Interests,-416700000.0,-813400000.0,703200000.0,999300000.0,311500000.0,
Net Income Including Noncontrolling Interests,27303700000.0,31830900000.0,20073600000.0,12008800000.0,2954900000.0,
Net Income Continuous Operations,27303700000.0,31830900000.0,20073600000.0,12008800000.0,2954900000.0,
Tax Provision,11384000000.0,10393800000.0,10597200000.0,9988100000.0,13765400000.0,
Pretax Income,38687700000.0,42224700000.0,30670800000.0,21996900000.0,16720300000.0,
Other Non Operating Income Expenses,5010900000.0,3635500000.0,2886700000.0,-9433700000.0,2210300000.0,
Special Income Charges,-1398800000.0,-4204100000.0,-1321200000.0,-1626300000.0,-1261900000.0,
Other Special Charges,-7345400000.0,990900000.0,282000000.0,-2302800000.0,-727200000.0,
Write Off,941800000.0,1668200000.0,0.0,1005800000.0,186000000.0,
Restructuring And Mergern Acquisition,7802400000.0,1545000000.0,1039200000.0,2923300000.0,1803100000.0,
Net Non Operating Interest Income Expense,-17472900000.0,-17749600000.0,-18524300000.0,-9942000000.0,-18040900000.0,
Interest Expense Non Operating,17472900000.0,17749600000.0,18524300000.0,17887500000.0,18040900000.0,
Operating Income,51508900000.0,60035400000.0,46832400000.0,34197200000.0,33343000000.0,
Operating Expense,290534100000.0,277864200000.0,274821700000.0,-5151300000.0,259665400000.0,
Other Operating Expenses,200077700000.0,190175900000.0,185733500000.0,-265361500000.0,177419000000.0,
Depreciation And Amortization In Income Statement,30488100000.0,28930000000.0,27443000000.0,27250300000.0,25691900000.0,
Depreciation Income Statement,30488100000.0,28930000000.0,27443000000.0,27250300000.0,25691900000.0,
Gross Profit,342043000000.0,337899600000.0,321654100000.0,29045900000.0,293008400000.0,
Cost Of Revenue,224417500000.0,244260800000.0,205786600000.0,528024000000.0,239304400000.0,
Total Revenue,566460500000.0,582160400000.0,527440700000.0,557069900000.0,532312800000.0,
Operating Revenue,566460500000.0,582160400000.0,527440700000.0,557069900000.0,532312800000.0,
