,2025-12-31,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-699505680.685669,0.0,169932796.066111,0.0,0.0
Tax Rate For Calcs,0.256794,0.302392,0.22012,0.23786,0.266122
Normalized EBITDA,23448000000.0,21540000000.0,19071000000.0,18321000000.0,22723000000.0
Total Unusual Items,-2724000000.0,0.0,1045000000.0,0.0,0.0
Total Unusual Items Excluding Goodwill,-2724000000.0,0.0,772000000.0,0.0,0.0
Net Income From Continuing Operation Net Minority Interest,11220000000.0,11406000000.0,11667000000.0,9832000000.0,12501000000.0
Reconciled Depreciation,4737000000.0,4581000000.0,4621000000.0,4588000000.0,4698000000.0
Reconciled Cost Of Revenue,91053000000.0,88097000000.0,120748000000.0,88831000000.0,90242000000.0
EBITDA,20724000000.0,21540000000.0,20116000000.0,18321000000.0,22723000000.0
EBIT,15987000000.0,16959000000.0,15495000000.0,13733000000.0,18025000000.0
Net Interest Income,-936000000.0,-778000000.0,1113000000.0,-759000000.0,-890000000.0
Interest Expense,936000000.0,778000000.0,853000000.0,759000000.0,890000000.0
Normalized Income,13244494319.314331,11406000000.0,11337932796.06611,9832000000.0,12501000000.0
Net Income From Continuing And Discontinued Operation,11220000000.0,11406000000.0,11667000000.0,9832000000.0,12501000000.0
Total Expenses,125013000000.0,118741000000.0,119494000000.0,119354000000.0,120328000000.0
Diluted Average Shares,887658228.0,886936236.0,,887364621.0,886595745.0
Basic Average Shares,886255924.0,886247086.0,,885765766.0,885339943.0
Diluted EPS,12.64,12.86,,11.08,14.1
Basic EPS,12.66,12.87,,11.1,14.12
Diluted NI Availto Com Stockholders,11220000000.0,11406000000.0,11667000000.0,9832000000.0,12501000000.0
Net Income Common Stockholders,11220000000.0,11406000000.0,11667000000.0,9832000000.0,12501000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0
Net Income,11220000000.0,11406000000.0,11667000000.0,9832000000.0,12501000000.0
Minority Interests,34000000.0,118000000.0,248000000.0,-56000000.0,-74000000.0
Net Income Including Noncontrolling Interests,11186000000.0,11288000000.0,11419000000.0,9888000000.0,12575000000.0
Net Income Continuous Operations,11186000000.0,11288000000.0,11419000000.0,9888000000.0,12575000000.0
Tax Provision,3865000000.0,4893000000.0,3223000000.0,3086000000.0,4560000000.0
Pretax Income,15051000000.0,16181000000.0,14642000000.0,12974000000.0,17135000000.0
Other Non Operating Income Expenses,-217000000.0,2183000000.0,786000000.0,165000000.0,5215000000.0
Special Income Charges,-2724000000.0,0.0,-532000000.0,0.0,0.0
Other Special Charges,2724000000.0,,-34000000.0,,
Net Non Operating Interest Income Expense,-936000000.0,-778000000.0,1113000000.0,-759000000.0,-890000000.0
Interest Expense Non Operating,936000000.0,778000000.0,853000000.0,759000000.0,890000000.0
Operating Income,18919000000.0,14771000000.0,14346000000.0,13502000000.0,12804000000.0
Operating Expense,33960000000.0,30644000000.0,-1254000000.0,30523000000.0,30086000000.0
Other Operating Expenses,29223000000.0,26063000000.0,-50663000000.0,25935000000.0,25388000000.0
Depreciation And Amortization In Income Statement,4737000000.0,4581000000.0,4621000000.0,4588000000.0,4698000000.0
Depreciation Income Statement,4737000000.0,4581000000.0,-2578000000.0,4588000000.0,4698000000.0
Gross Profit,52879000000.0,45415000000.0,13092000000.0,44025000000.0,42890000000.0
Cost Of Revenue,91053000000.0,88097000000.0,120748000000.0,88831000000.0,90242000000.0
Total Revenue,143932000000.0,133512000000.0,133840000000.0,132856000000.0,133132000000.0
Operating Revenue,143932000000.0,133512000000.0,133840000000.0,132856000000.0,133132000000.0
