,2025-12-31,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-368547008.547009,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.242465,0.262838,0.284893,0.25,0.257384
Normalized EBITDA,28640000000.0,19350000000.0,16530000000.0,18020000000.0,13590000000.0
Total Unusual Items,-1520000000.0,,,0.0,
Total Unusual Items Excluding Goodwill,-1520000000.0,,,0.0,
Net Income From Continuing Operation Net Minority Interest,16840000000.0,10910000000.0,8710000000.0,10470000000.0,7040000000.0
Reconciled Depreciation,2070000000.0,1840000000.0,1830000000.0,1750000000.0,1710000000.0
Reconciled Cost Of Revenue,203870000000.0,128110000000.0,115740000000.0,140830000000.0,115220000000.0
EBITDA,27120000000.0,19350000000.0,16530000000.0,18020000000.0,13590000000.0
EBIT,25050000000.0,17510000000.0,14700000000.0,16270000000.0,11880000000.0
Net Interest Income,-2820000000.0,-2710000000.0,490000000.0,-2310000000.0,-2400000000.0
Interest Expense,2820000000.0,2710000000.0,2520000000.0,2310000000.0,2400000000.0
Normalized Income,17991452991.45299,10910000000.0,8710000000.0,10470000000.0,7040000000.0
Net Income From Continuing And Discontinued Operation,16840000000.0,10910000000.0,8710000000.0,10470000000.0,7040000000.0
Total Expenses,224090000000.0,131680000000.0,156910000000.0,160510000000.0,124080000000.0
Diluted Average Shares,887717449.0,886991870.0,,887288136.0,887767970.0
Basic Average Shares,887249737.0,886991870.0,,887288136.0,886649874.0
Diluted EPS,18.97,12.3,,11.8,7.93
Basic EPS,18.98,12.3,,11.8,7.94
Diluted NI Availto Com Stockholders,16840000000.0,10910000000.0,8710000000.0,10470000000.0,7040000000.0
Net Income Common Stockholders,16840000000.0,10910000000.0,8710000000.0,10470000000.0,7040000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0
Net Income,16840000000.0,10910000000.0,8710000000.0,10470000000.0,7040000000.0
Minority Interests,0.0,0.0,0.0,0.0,0.0
Net Income Including Noncontrolling Interests,16840000000.0,10910000000.0,8710000000.0,10470000000.0,7040000000.0
Net Income Continuous Operations,16840000000.0,10910000000.0,8710000000.0,10470000000.0,7040000000.0
Tax Provision,5390000000.0,3890000000.0,3470000000.0,3490000000.0,2440000000.0
Pretax Income,22230000000.0,14800000000.0,12180000000.0,13960000000.0,9480000000.0
Other Non Operating Income Expenses,1510000000.0,1050000000.0,-3440000000.0,1280000000.0,1220000000.0
Special Income Charges,-1520000000.0,,,0.0,
Net Non Operating Interest Income Expense,-2820000000.0,-2710000000.0,490000000.0,-2310000000.0,-2400000000.0
Interest Expense Non Operating,2820000000.0,2710000000.0,2520000000.0,2310000000.0,2400000000.0
Operating Income,25060000000.0,16460000000.0,13610000000.0,14990000000.0,10650000000.0
Operating Expense,20220000000.0,3570000000.0,41170000000.0,19680000000.0,8860000000.0
Other Operating Expenses,12650000000.0,9630000000.0,-13170000000.0,10570000000.0,9300000000.0
Depreciation And Amortization In Income Statement,2070000000.0,1840000000.0,1830000000.0,1750000000.0,1710000000.0
Depreciation Income Statement,2070000000.0,1840000000.0,1220000000.0,1750000000.0,1710000000.0
Selling General And Administration,4050000000.0,3280000000.0,22990000000.0,3710000000.0,3270000000.0
Selling And Marketing Expense,4050000000.0,3280000000.0,20080000000.0,3710000000.0,3270000000.0
Gross Profit,45280000000.0,20030000000.0,54780000000.0,34670000000.0,19510000000.0
Cost Of Revenue,203870000000.0,128110000000.0,115740000000.0,140830000000.0,115220000000.0
Total Revenue,249150000000.0,148140000000.0,170520000000.0,175500000000.0,134730000000.0
Operating Revenue,249150000000.0,148140000000.0,170520000000.0,175500000000.0,134730000000.0
