,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-64056296.416842,0.0,0.0,456957342.152736,0.0,
Tax Rate For Calcs,0.245332,0.217116,0.247906,0.250511,0.231112,
Normalized EBITDA,11117300000.0,8435300000.0,8976600000.0,5428400000.0,9272400000.0,
Total Unusual Items,-261100000.0,,,1824100000.0,0.0,0.0
Total Unusual Items Excluding Goodwill,-261100000.0,,,1824100000.0,0.0,0.0
Net Income From Continuing Operation Net Minority Interest,5127700000.0,3768600000.0,4296900000.0,3181500000.0,4972500000.0,
Reconciled Depreciation,3667400000.0,3249300000.0,2929300000.0,2719800000.0,2449300000.0,
Reconciled Cost Of Revenue,29628400000.0,27661900000.0,27141200000.0,26125100000.0,26162500000.0,
EBITDA,10856200000.0,8435300000.0,8976600000.0,7252500000.0,9272400000.0,
EBIT,7188800000.0,5186000000.0,6047300000.0,4532700000.0,6823100000.0,
Net Interest Income,-429400000.0,-416200000.0,-400400000.0,-682600000.0,-365200000.0,
Interest Expense,429400000.0,416200000.0,400400000.0,375200000.0,365200000.0,
Normalized Income,5324743703.583158,3768600000.0,4296900000.0,1814357342.152736,4972500000.0,
Net Income From Continuing And Discontinued Operation,5127700000.0,3768600000.0,4296900000.0,3181500000.0,4972500000.0,
Total Expenses,46307300000.0,43255300000.0,43285500000.0,35265000000.0,40541200000.0,
Rent Expense Supplemental,3798900000.0,3946100000.0,4888200000.0,2896800000.0,3751200000.0,
Diluted Average Shares,355596394.0,355528302.0,355409429.0,,355432452.0,355456453.0
Basic Average Shares,355596394.0,355528302.0,355409429.0,,355432452.0,355456453.0
Diluted EPS,14.42,10.6,12.09,,13.99,9.53
Basic EPS,14.42,10.6,12.09,,13.99,9.53
Diluted NI Availto Com Stockholders,5127700000.0,3768600000.0,4296900000.0,3181500000.0,4972500000.0,
Net Income Common Stockholders,5127700000.0,3768600000.0,4296900000.0,3181500000.0,4972500000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,
Net Income,5127700000.0,3768600000.0,4296900000.0,3181500000.0,4972500000.0,
Minority Interests,26600000.0,34400000.0,49900000.0,65500000.0,7100000.0,
Net Income Including Noncontrolling Interests,5101100000.0,3734200000.0,4247000000.0,3116000000.0,4965400000.0,
Net Income Continuous Operations,5101100000.0,3734200000.0,4247000000.0,3116000000.0,4965400000.0,
Tax Provision,1658300000.0,1035600000.0,1399900000.0,1041500000.0,1492500000.0,
Pretax Income,6759400000.0,4769800000.0,5646900000.0,4157500000.0,6457900000.0,
Other Non Operating Income Expenses,187900000.0,275500000.0,405900000.0,-1364700000.0,536400000.0,
Special Income Charges,-261100000.0,,,1024700000.0,0.0,0.0
Net Non Operating Interest Income Expense,-429400000.0,-416200000.0,-400400000.0,-682600000.0,-365200000.0,
Interest Expense Non Operating,429400000.0,416200000.0,400400000.0,375200000.0,365200000.0,
Operating Income,7143300000.0,4921500000.0,5549300000.0,4295500000.0,6024400000.0,
Operating Expense,16678900000.0,15593400000.0,16144300000.0,9139900000.0,14378700000.0,
Other Operating Expenses,5788500000.0,5231300000.0,5108100000.0,-6372700000.0,4895000000.0,
Depreciation And Amortization In Income Statement,3667400000.0,3249300000.0,2929300000.0,2719800000.0,2449300000.0,
Depreciation Income Statement,3667400000.0,3249300000.0,2929300000.0,2719800000.0,2449300000.0,
Rent And Landing Fees,3798900000.0,3946100000.0,4888200000.0,2896800000.0,3751200000.0,
Gross Profit,23822200000.0,20514900000.0,21693600000.0,13435400000.0,20403100000.0,
Cost Of Revenue,29628400000.0,27661900000.0,27141200000.0,26125100000.0,26162500000.0,
Total Revenue,53450600000.0,48176800000.0,48834800000.0,39560500000.0,46565600000.0,
Operating Revenue,53450600000.0,48176800000.0,48834800000.0,39560500000.0,46565600000.0,
