,2025-12-31,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-216362289.423658,-100408398.829709,605402970.788624,0.0,0.0
Tax Rate For Calcs,0.242477,0.261616,0.193872,0.193837,0.19486
Normalized EBITDA,40463500000.0,45862600000.0,42486600000.0,31408000000.0,22519600000.0
Total Unusual Items,-892300000.0,-383800000.0,3122700000.0,0.0,0.0
Total Unusual Items Excluding Goodwill,-892300000.0,-383800000.0,3122700000.0,0.0,0.0
Net Income From Continuing Operation Net Minority Interest,17254000000.0,22259000000.0,20529600000.0,13594300000.0,7028200000.0
Reconciled Depreciation,11819000000.0,11067800000.0,13518300000.0,9927800000.0,9796700000.0
Reconciled Cost Of Revenue,44027000000.0,38190400000.0,80641400000.0,32038800000.0,29200300000.0
EBITDA,39571200000.0,45478800000.0,45609300000.0,31408000000.0,22519600000.0
EBIT,27752200000.0,34411000000.0,32091000000.0,21480200000.0,12722900000.0
Net Interest Income,-4922000000.0,-4333000000.0,-3918700000.0,-4567500000.0,-3929900000.0
Interest Expense,4922000000.0,4333000000.0,6713900000.0,4567500000.0,3929900000.0
Normalized Income,17929937710.576344,22542391601.17029,18012302970.788624,13594300000.0,7028200000.0
Net Income From Continuing And Discontinued Operation,17254000000.0,22259000000.0,20529700000.0,13594300000.0,7028200000.0
Total Expenses,190963400000.0,179718900000.0,208968400000.0,158768800000.0,152469100000.0
Diluted Average Shares,294336404.0,294392276.0,,294440113.0,294436531.0
Basic Average Shares,294135697.0,294158848.0,,294185241.0,294190038.0
Diluted EPS,58.62,75.61,,46.17,23.87
Basic EPS,58.66,75.67,,46.21,23.89
Diluted NI Availto Com Stockholders,17254000000.0,22259000000.0,20529700000.0,13594300000.0,7028200000.0
Net Income Common Stockholders,17254000000.0,22259000000.0,20529700000.0,13594300000.0,7028200000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0
Net Income,17254000000.0,22259000000.0,20529700000.0,13594300000.0,7028200000.0
Minority Interests,-40400000.0,49900000.0,72500000.0,-40100000.0,-51400000.0
Net Income Including Noncontrolling Interests,17294400000.0,22209100000.0,20457400000.0,13634400000.0,7079600000.0
Net Income Discontinuous Operations,,,,-100000.0,
Net Income Continuous Operations,17294400000.0,22209100000.0,20457300000.0,13634400000.0,7079600000.0
Tax Provision,5535800000.0,7868900000.0,4919900000.0,3278300000.0,1713400000.0
Pretax Income,22830200000.0,30078000000.0,25377100000.0,16912700000.0,8793000000.0
Other Non Operating Income Expenses,1355800000.0,1802300000.0,-5414100000.0,2473200000.0,2262200000.0
Special Income Charges,-892300000.0,-383800000.0,-336200000.0,0.0,0.0
Other Special Charges,884800000.0,,,,
Write Off,7500000.0,383800000.0,,0.0,
Restructuring And Mergern Acquisition,0.0,0.0,1205800000.0,0.0,0.0
Net Non Operating Interest Income Expense,-4922000000.0,-4333000000.0,-3918700000.0,-4567500000.0,-3929900000.0
Interest Expense Non Operating,4922000000.0,4333000000.0,6713900000.0,4567500000.0,3929900000.0
Operating Income,27333400000.0,33035600000.0,31419900000.0,19019500000.0,10475100000.0
Operating Expense,146936400000.0,141528500000.0,128327000000.0,126730000000.0,123268800000.0
Other Operating Expenses,77126500000.0,74248600000.0,36423100000.0,67541100000.0,65738300000.0
Depreciation And Amortization In Income Statement,11819000000.0,11067800000.0,13518300000.0,9927800000.0,9796700000.0
Depreciation Income Statement,11819000000.0,11067800000.0,10559100000.0,9927800000.0,9796700000.0
Selling General And Administration,47577000000.0,46489700000.0,75374800000.0,40360500000.0,38197100000.0
Selling And Marketing Expense,47577000000.0,46489700000.0,73996200000.0,40360500000.0,38197100000.0
Gross Profit,174269800000.0,174564100000.0,159746900000.0,145749500000.0,133743900000.0
Cost Of Revenue,44027000000.0,38190400000.0,80641400000.0,32038800000.0,29200300000.0
Total Revenue,218296800000.0,212754500000.0,240388300000.0,177788300000.0,162944200000.0
Operating Revenue,218296800000.0,212754500000.0,240388300000.0,177788300000.0,162944200000.0
