,2025-12-31,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-326393442.622951,-148105263.157895,-528046477.850399,-171000000.0,-480000000.0
Tax Rate For Calcs,0.269747,0.073684,0.216412,0.3,0.3
Normalized EBITDA,23190000000.0,14780000000.0,26930000000.0,19270000000.0,16310000000.0
Total Unusual Items,-1210000000.0,-2010000000.0,-2440000000.0,-570000000.0,-1600000000.0
Total Unusual Items Excluding Goodwill,-1210000000.0,-2010000000.0,-2440000000.0,-570000000.0,-1600000000.0
Net Income From Continuing Operation Net Minority Interest,3960000000.0,-880000000.0,8960000000.0,8280000000.0,-4430000000.0
Reconciled Depreciation,8270000000.0,7310000000.0,7050000000.0,6880000000.0,6970000000.0
Reconciled Cost Of Revenue,58460000000.0,41690000000.0,88540000000.0,53290000000.0,58230000000.0
EBITDA,21980000000.0,12770000000.0,24490000000.0,18700000000.0,14710000000.0
EBIT,13710000000.0,5460000000.0,17440000000.0,11820000000.0,7740000000.0
Net Interest Income,-7000000000.0,-7360000000.0,-2240000000.0,-8280000000.0,-12210000000.0
Interest Expense,7000000000.0,7360000000.0,3670000000.0,8280000000.0,12210000000.0
Normalized Income,4843606557.377049,981894736.842105,10871953522.149601,8679000000.0,-3310000000.0
Net Income From Continuing And Discontinued Operation,3960000000.0,-880000000.0,8960000000.0,8280000000.0,-4430000000.0
Total Expenses,105980000000.0,84520000000.0,126360000000.0,94520000000.0,100600000000.0
Diluted Average Shares,844349680.0,844433596.0,,853608247.0,779929577.0
Basic Average Shares,844349680.0,844433596.0,,853608247.0,779929577.0
Diluted EPS,4.69,-1.98,,9.7,-5.68
Basic EPS,4.69,-1.98,,9.7,-5.68
Diluted NI Availto Com Stockholders,3960000000.0,-880000000.0,7580000000.0,8280000000.0,-4430000000.0
Net Income Common Stockholders,3960000000.0,-880000000.0,7580000000.0,8280000000.0,-4430000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,1380000000.0,0.0,0.0
Net Income,3960000000.0,-880000000.0,8960000000.0,8280000000.0,-4430000000.0
Minority Interests,-940000000.0,880000000.0,-1830000000.0,-250000000.0,1420000000.0
Net Income Including Noncontrolling Interests,4900000000.0,-1760000000.0,10790000000.0,8530000000.0,-5850000000.0
Net Income Continuous Operations,4900000000.0,-1760000000.0,10790000000.0,8530000000.0,-5850000000.0
Tax Provision,1810000000.0,-140000000.0,2980000000.0,-4990000000.0,1380000000.0
Pretax Income,6710000000.0,-1900000000.0,13770000000.0,3540000000.0,-4470000000.0
Other Non Operating Income Expenses,920000000.0,1430000000.0,-3010000000.0,1700000000.0,1110000000.0
Special Income Charges,-1210000000.0,-2010000000.0,-2440000000.0,-570000000.0,-1600000000.0
Other Special Charges,540000000.0,,1870000000.0,110000000.0,80000000.0
Write Off,650000000.0,1920000000.0,300000000.0,-190000000.0,1520000000.0
Restructuring And Mergern Acquisition,20000000.0,90000000.0,270000000.0,650000000.0,0.0
Net Non Operating Interest Income Expense,-7000000000.0,-7360000000.0,-2240000000.0,-8280000000.0,-12210000000.0
Interest Expense Non Operating,7000000000.0,7360000000.0,3670000000.0,8280000000.0,12210000000.0
Operating Income,16710000000.0,7640000000.0,25620000000.0,14550000000.0,10300000000.0
Operating Expense,47520000000.0,42830000000.0,37820000000.0,41230000000.0,42370000000.0
Other Operating Expenses,25460000000.0,22300000000.0,-5640000000.0,22510000000.0,22030000000.0
Depreciation And Amortization In Income Statement,8270000000.0,7310000000.0,7050000000.0,6880000000.0,6970000000.0
Depreciation Income Statement,8270000000.0,7310000000.0,-5000000000.0,6880000000.0,6970000000.0
Gross Profit,64230000000.0,50470000000.0,63440000000.0,55780000000.0,52670000000.0
Cost Of Revenue,58460000000.0,41690000000.0,88540000000.0,53290000000.0,58230000000.0
Total Revenue,122690000000.0,92160000000.0,151980000000.0,109070000000.0,110900000000.0
Operating Revenue,122690000000.0,92160000000.0,151980000000.0,109070000000.0,110900000000.0
