date,ticker,side,shares,price,cash_after
2022-02-02,SBIN,BUY,79.41450367840709,502.68096923828125,960000.0
2022-02-02,LT,BUY,20.980085390755637,1902.764404296875,920000.0
2022-02-02,MARUTI,BUY,4.8603861287292025,8213.3720703125,880000.0
2022-02-02,ONGC,BUY,302.31533503788285,132.04808044433594,840000.0
2022-02-02,POWERGRID,BUY,305.4989636314989,130.6719970703125,800000.0
2022-02-02,ICICIBANK,BUY,50.57324134741051,789.3533935546875,760000.0
2022-02-02,BHARTIARTL,BUY,56.33389951653026,708.634765625,720000.0
2022-02-02,COALINDIA,BUY,339.9996991228859,117.41233825683594,680000.0
2022-02-02,HINDALCO,BUY,79.93168658700996,499.428466796875,640000.0
2022-02-02,NTPC,BUY,330.100816578924,120.93323516845703,600000.0
2022-02-02,SUNPHARMA,BUY,46.96739954226827,849.9546508789062,560000.0
2022-02-02,TCS,BUY,11.650509183178585,3426.473388671875,520000.0
2022-02-02,GRASIM,BUY,22.97660970726134,1737.426025390625,480000.0
2022-02-02,M&M,BUY,47.59812267286826,838.69189453125,440000.0
2022-02-02,TECHM,BUY,30.926460358193843,1290.8092041015625,400000.0
2022-02-02,TITAN,BUY,16.413977460919636,2432.083251953125,360000.0
2022-02-02,AXISBANK,BUY,49.85305538833972,800.7565307617188,320000.0
2022-02-02,IOC,BUY,619.6390781777139,64.42485809326172,280000.0
2022-02-02,INFY,BUY,24.8833806285844,1604.2900390625,240000.0
2022-02-02,BAJAJFINSV,BUY,23.94365765656994,1667.2540283203125,200000.0
2022-02-02,SBILIFE,BUY,33.02411761952292,1208.818359375,160000.0
2022-02-02,UPL,BUY,52.851849935248275,755.3218994140625,120000.0
2022-02-02,BAJFINANCE,BUY,56.14011669072759,711.080810546875,80000.0
2022-02-02,BRITANNIA,BUY,11.706818516175478,3409.9921875,40000.0
2022-02-02,HEROMOTOCO,BUY,17.325997376606697,2304.061279296875,0.0
2022-05-04,TECHM,SELL,30.926460358193843,1055.6617431640625,32582.58528952194
2022-05-04,BAJFINANCE,SELL,56.14011669072759,622.0221557617188,67433.1409053854
2022-05-04,BRITANNIA,SELL,11.706818516175478,3188.12451171875,104681.29038091603
2022-05-04,SBIN,SELL,79.41450367840709,446.66717529296875,140082.19871217254
2022-05-04,IOC,SELL,619.6390781777139,67.37028503417969,181743.9695046912
2022-05-04,ICICIBANK,SELL,50.57324134741051,702.5366821289062,217202.46757104396
2022-05-04,TCS,SELL,11.650509183178585,3091.97412109375,253153.49431721334
2022-05-04,SBILIFE,SELL,33.02411761952292,1069.8701171875,288414.3478716509
2022-05-04,LT,SELL,20.980085390755637,1568.07470703125,321246.89244174544
2022-05-04,MARUTI,SELL,4.8603861287292025,7135.63330078125,355859.46169033117
2022-05-04,HINDALCO,SELL,79.93168658700996,448.6061706542969,391645.59382840164
2022-05-04,BAJAJFINSV,SELL,23.94365765656994,1429.37646484375,425801.6455635054
2022-05-04,INFY,SELL,24.8833806285844,1378.4720458984375,460034.0880782518
2022-05-04,GRASIM,SELL,22.97660970726134,1585.14111328125,496382.41443166725
2022-05-04,ADANIPORTS,BUY,47.50314410525007,794.5265502929688,458564.4201992251
2022-05-04,BHARTIARTL,TRIM,2.770734342162143,706.0447998046875,460516.7702480011
2022-05-04,COALINDIA,TRIM,66.72460230085623,138.38800048828125,469732.18677520077
2022-05-04,ITC,BUY,175.43008035689175,215.1427459716797,431914.19254275865
2022-05-04,JSWSTEEL,BUY,55.49115346833419,680.1536254882812,394096.19831031654
2022-05-04,M&M,TRIM,3.852537579879182,864.49853515625,397420.0503785676
2022-05-04,NTPC,TRIM,59.76190908458746,139.89105224609375,405763.48641195375
2022-05-04,POWERGRID,TRIM,51.88033953968189,149.11363220214844,413484.0801488592
2022-05-04,RELIANCE,BUY,30.79404620195031,1225.64306640625,375666.08591641707
2022-05-04,SUNPHARMA,TRIM,3.323882876657069,866.5203247070312,378540.53756184696
2022-05-04,UPL,TRIM,5.10675089471722,792.0811767578125,382577.4088974274
2022-05-04,CIPLA,BUY,40.69711906451597,927.4000244140625,344759.41466498526
2022-05-04,ASIANPAINT,BUY,12.638722742231005,2986.259765625,306941.4204325431
